Year,Name,Gender,Age,Height,Weight,Result
1972,VALERY BORZOV ,M,22,183,81,10.14
1972,ROBERT TAYLOR ,M,23,183,80,10.24
1972,LENNOX MILLER ,M,25,183,77,10.33
1972,RENATE STECHER ,F,22,170,72,11.07
1972,RAELENE ANN BOYLE,F,21,168,58,11.23
1972,SILVIA CHIVAS BARO,F,17,157,58,11.24
1976,HASELY CRAWFORD ,M,25,187,92,10.06
1976,DONALD QUARRIE ,M,25,175,70,10.08
1976,ANNEGRET RICHTER-IRRGANG ,F,25,167,51,11.08
1976,INGE HELTEN ,F,18,171,57,11.17
1980,ALLAN WELLS ,M,28,183,86,10.25
1980,SILVIO LEONARD SARRIA,M,24,173,63,10.25
1980,PETER PETROV ,M,25,180,82,10.39
1980,LYUDMILA KONDRATYEVA ,F,22,168,56,11.06
1980,MARLIES OELSNER-GÃHR ,F,22,165,56,11.07
1980,INGRID AUERSWALD-LANGE ,F,22,168,57,11.14
1984,CARL LEWIS ,M,23,188,82,9.99
1984,SAM GRADDY ,M,20,178,69,10.19
1984,BEN JOHNSON ,M,22,177,77,10.22
1984,EVELYN ASHFORD ,F,27,165,54,10.97
1984,ALICE BROWN ,F,23,159,59,11.13
1992,LINFORD CHRISTIE ,M,32,189,93,9.96
1992,DENNIS MITCHELL ,M,26,175,70,10.04
1992,GAIL DEVERS ,F,25,160,55,10.82
1992,JULIET CUTHBERT ,F,28,160,53,10.83
1992,IRINA PRIVALOVA ,F,23,174,64,10.84
1996,DONOVAN BAILEY ,M,28,183,83,9.84
1996,FRANK FREDERICKS ,M,28,180,73,9.89
1996,ATO BOLDON ,M,22,176,74,9.9
1996,MERLENE OTTEY ,F,36,175,62,10.94
1996,GWEN TORRENCE ,F,31,170,57,10.96
2000,OBADELE THOMPSON ,M,24,182,76,10.04
2000,EKATERINI THANOU ,F,25,165,58,11.12
2000,TANYA LAWRENCE ,F,24,163,62,11.18
2004,FRANCIS OBIKWELU ,M,25,195,79,9.86
2004,MAURICE GREENE ,M,30,176,79,9.87
2004,YULIYA NESTSIARENKA ,F,25,176,61,10.93
2004,LAURYN WILLIAMS ,F,20,160,66,10.96
2008,RICHARD THOMPSON ,M,23,188,78,9.89
2008,WALTER DIX ,M,22,175,79,9.91
2008,KERRON STEWART ,F,24,175,60,10.98
2008,SHERONE SIMPSON ,F,23,163,58,10.98
2012,USAIN BOLT ,M,25,196,96,9.63
2012,YOHAN BLAKE ,M,22,180,80,9.75
2012,JUSTIN GATLIN ,M,30,186,82,9.79
2012,SHELLY-ANN FRASER-PRYCE ,F,25,160,57,10.75
2012,CARMELITA JETER ,F,32,163,60,10.78
2012,VERONICA CAMPBELL-BROWN ,F,30,168,60,10.81
2016,ANDRE DE GRASSE,M,21,176,72,9.91
2016,ELAINE THOMPSON ,F,24,167,58,10.71
2016,TORI BOWIE ,F,25,175,57,10.83
2024,BORZOR Christopher,M,25,182,67.1,10.26
2024,BIBI Gary Noa Jerrel,M,24,178,65,10.27
2024,CAMARA Ebrahima,M,28,178,63.6,10.29
2024,HOWELL Davonte,M,19,176,60.8,10.31
2024,SANTOS Marcos,M,20,185,70.5,10.31
2024,HARRIS Naquille,M,22,175,63.6,10.33
2024,DELISER ESPINOSA Arturo Harmodio,M,27,192,74,10.34
2024,ZOHRI Lalu Muhammad,M,24,172,60.8,10.35
2024,MATSENJWA Sibusiso,M,36,182,68.9,10.39
2024,FAHMI Muhd Azeem,M,20,181,64.5,10.42
2024,LOUIS Marc Brian,M,22,174,59.9,10.43
2024,MAAROUFOU Hachim,M,27,183,69.2,10.44
2024,YASEEN Taha Hussein,M,26,171,60.4,10.51
2024,SICOBO Dylan,M,27,180,63.9,10.51
2024,ADAM Ibadulla,M,22,170,60.1,10.55
2024,HOYE YENDA MOUKOULA Wissy Frank,M,28,177,63.9,10.59
2024,BURRAJ Franko,M,26,193,75.6,10.6
2024,MUZRAPOV Favoris,M,26,176,64.9,10.6
2024,DIU Felix Chun Hei,M,24,176,61.6,10.62
2024,NOOR ZAHI Sha Mahmood,M,33,179,65.2,10.64
2024,LISSE Jalen,M,24,179,63.7,10.64
2024,SISSOKO Fode,M,28,180,64.1,10.66
2024,GRILLO Beppe,M,21,178,65.5,10.69
2024,RAHMAN Imranur,M,31,170,60.4,10.73
2024,TEWA Waisake,M,21,185,67.6,10.73
2024,CAMARA Seco,M,29,175,63.6,10.76
2024,KIKI Didier,M,29,187,69.5,10.76
2024,GARCIA Melique,M,32,170,59.5,10.76
2024,TOUMANDJI Herve,M,30,183,68.7,10.76
2024,GARDINER Rija Vatomanga,M,24,185,67.1,10.82
2024,GREEN Joseph,M,22,182,68.6,10.85
2024,AR-RASYID Muhd Noor Firdaus,M,28,178,65.6,10.86
2024,KAKIOUEA Winzar,M,23,174,60,11.15
2024,GILL Shaun,M,31,175,64.9,11.17
2024,REED William,M,19,180,62.6,11.29
2024,MAIBUCA Karalo Hepoiteloto,M,25,176,62.7,11.3
2024,ATAIDE Manuel,M,23,176,64.4,11.35
2024,AL-YAFAEE Samer,M,19,183,65.8,11.54
2024,FITI Scott James,M,29,174,60.9,11.61
2024,SANTANDER VILLARUBIA Remigio,M,22,170,58.1,11.65
2024,PESIC Darko,M,32,188,71.8,11.85
2024,BEDNAREK Kenneth,M,26,187,73,9.97
2024,KERLEY Fred,M,29,190,73.8,9.97
2024,HINCHLIFFE Louie,M,22,175,59.6,9.98
2024,ESEME Emmanuel,M,31,184,67.6,9.98
2024,SEVILLE Oblique,M,23,170,60.2,9.99
2024,THOMPSON Kishane,M,23,185,68,10
2024,TEBOGO Letsile,M,21,184,67.9,10.01
2024,SANI BROWN Abdul Hakim,M,25,190,72.1,10.02
2024,AJAYI Kayinsola,M,20,177,63.7,10.02
2024,HUGHES Zharnel,M,29,193,75.2,10.03
2024,SIMBINE Akani,M,31,176,62.7,10.03
2024,LYLES Noah,M,27,177,62.8,10.04
2024,JACOBS Lamont Marcell,M,30,186,71.9,10.05
2024,SAMINU Abdul-Rasheed,M,27,175,64.3,10.06
2024,BLAKE Ackeem,M,22,180,65.1,10.06
2024,MASWANGANYI Shaun,M,23,185,67,10.06
2024,RICHARDSON Benjamin,M,20,190,74.2,10.06
2024,De GRASSE Andre,M,30,176,62.5,10.07
2024,AZAMATI Benjamin,M,26,175,62.2,10.08
2024,OMANYALA Ferdinand,M,28,175,61.5,10.08
2024,MATADI Emmanuel,M,33,183,68.2,10.08
2024,ESPINOSA Reynaldo R.,M,21,178,61.5,10.11
2024,ALI Chituru,M,25,198,81.4,10.12
2024,BRATHWAITE Rikkoi,M,25,175,61,10.13
2024,BOONSON Puripol,M,18,182,63.9,10.13
2024,ASHE Favour Oghene Tejiri,M,22,156,47.9,10.16
2024,XIE Zhenye,M,31,184,68.6,10.16
2024,HARTMANN Joshua,M,25,187,71.8,10.16
2024,ASEMOTA Duan,M,28,180,65.1,10.17
2024,GREENE Cejhae,M,29,176,64.3,10.17
2024,SAKAI Ryuichiro,M,26,171,58.4,10.17
2024,BARDI Felipe,M,26,189,70.5,10.18
2024,TAFTIAN Hassan,M,31,182,69.1,10.18
2024,BIBI Gary Noa Jerrel,M,24,178,64,10.19
2024,HIGASHIDA Akihiro,M,28,172,58.4,10.19
2024,AZZOPARDI Joshua,M,25,181,65.3,10.2
2024,CAMARA Ebrahima,M,28,178,64.6,10.21
2024,ANSAH Owen,M,24,190,72.9,10.22
2024,HOWELL Davonte,M,19,176,63.8,10.24
2024,LARSSON Henrik,M,25,186,71.1,10.24
2024,McCOY Wanya,M,21,196,79,10.24
2024,ZOHRI Lalu Muhammad,M,24,172,58.8,10.26
2024,AL BALUSHI Ali Anwar Ali,M,22,174,59.9,10.26
2024,BORZOR Christopher,M,25,182,69.1,10.28
2024,BROWNING Rohan,M,26,179,63,10.29
2024,LONGA Ronal,M,20,183,69,10.29
2024,AUGUSTINE Devin,M,21,185,67.6,10.31
2024,CISSE Arthur,M,27,168,57.4,10.31
2024,JONES Terrence,M,22,193,76.9,10.31
2024,OZER Kayhan,M,26,173,58.8,10.34
2024,CARDOSO Erik,M,24,175,59.9,10.35
2024,DELISER ESPINOSA Arturo Harmodio,M,27,192,73,10.35
2024,RENTERIA JIMENEZ Jhonny,M,27,174,59.6,10.38
2024,HARRIS Naquille,M,22,175,60.6,10.38
2024,MATSENJWA Sibusiso,M,36,182,69.9,10.39
2024,HANSEN Simon,M,26,178,66.3,10.39
2024,ARCHIBALD Emanuel,M,30,165,56.8,10.4
2024,SANTOS Marcos,M,20,185,69.5,10.4
2024,GONZALEZ Jose,M,29,183,66.5,10.4
2024,FAHMI Muhd Azeem,M,20,181,64.5,10.45
2024,CAMILO Paulo Andre,M,26,183,70,10.46
2024,YASEEN Taha Hussein,M,26,171,57.4,10.5
2024,MAAROUFOU Hachim,M,27,183,68.2,10.52
2024,KELETELA Dorian,M,25,173,60.6,10.58
2024,FUCHS Markus,M,29,174,62.9,10.59
2024,SICOBO Dylan,M,27,180,64.9,10.62
2024,BURRAJ Franko,M,26,193,73.6,10.66
2024,WDOWIK Oliwer,M,22,176,63.3,11.53
2024,NGOYE Natacha,F,31,168,56,11.34
2024,SEMEDO Gorete,F,28,168,58.6,11.44
2024,TORREZ Guadalupe,F,23,165,55.9,11.6
2024,GASPARELLI Alessandra,F,20,162,51.5,11.62
2024,BEU Leonie,F,26,165,56.3,11.63
2024,ALLERS-LIBURD Zahria,F,22,170,60.1,11.73
2024,HIEBERT Xenia,F,26,166,56.9,11.77
2024,SIMWAKA Asimenye,F,27,168,55.4,11.78
2024,TRAN Thi Nhi Yen,F,19,172,60,11.81
2024,HAZZARD Halle,F,25,168,59.2,11.88
2024,CARMONA Maria,F,25,166,55.8,11.88
2024,CHACON Mariandree,F,20,171,56.5,11.9
2024,ACQUAVIVA Safiatou,F,25,170,56.5,11.97
2024,ZHANG Bo-Ya,F,21,166,54.2,11.99
2024,SESAY Georgiana,F,20,170,57.8,11.99
2024,MEREDOVA Valentina,F,40,160,51.8,12.01
2024,TUGADE-WATSON Regine,F,26,164,53.6,12.02
2024,AWALI BOUBACAR Samira,F,24,177,63.3,12.06
2024,AKAKPO Naomi,F,23,170,56.2,12.34
2024,KHARCHILAVA Lika,F,24,167,54.3,12.37
2024,GASTAUD Marie-Charlotte,F,25,167,58.5,12.41
2024,DAVID Chloe,F,19,174,58.4,12.44
2024,PHA APHAY Silina,F,28,160,54.2,12.45
2024,RIAZ Faiqa,F,25,163,54.8,12.49
2024,ASHRAF Shahd,F,21,174,60.7,12.53
2024,AL ALAWI Mazoon,F,27,153,45.6,12.58
2024,IAKOPO Filomenaleonisa,F,18,152,45,12.78
2024,YOUSSEF Alisar,F,19,163,52,12.93
2024,FRANCISCO Sydney,F,19,152,46.1,13.15
2024,ALFARSI Mariam,F,16,163,54.6,13.26
2024,YOUSOFI Kimia,F,28,163,55.2,13.42
2024,ADA ETO Sefora,F,21,165,52.6,13.63
2024,FIRISUA Sharon,F,30,152,48.4,14.31
2024,TA LOU-SMITH Marie-Josee,F,36,159,53.6,10.87
2024,FRASER-PRYCE Shelly-Ann,F,37,152,46.2,10.92
2024,NEITA Daryll,F,28,157,48.3,10.92
2024,RICHARDSON Sha'carri,F,24,157,49.8,10.87
2024,ALFRED Julien,F,23,170,57.2,10.72
2024,LEDUC Audrey,F,25,174,63.3,10.95
2024,JEFFERSON Melissa,F,23,162,51.9,10.92
2024,SWOBODA Ewa,F,27,167,57.8,10.99
2024,CLAYTON Tia,F,20,157,47.3,11
2024,ASHER-SMITH Dina,F,28,165,57.5,11.01
2024,BASS BITTAYE Gina Mariam,F,29,161,55,11.01
2024,KAMBUNDJI Mujinga,F,32,168,58.1,11.05
2024,LUECKENKEMPER Gina,F,28,170,59,11.08
2024,HOBBS Zoe,F,27,171,59.5,11.08
2024,LANSIQUOT Imani,F,26,171,57.4,11.1
2024,ROSIUS Rani,F,24,170,60.4,11.1
2024,TAKACS Boglarka,F,23,167,54.2,11.1
2024,MANASOVA Karolina,F,21,165,53.6,11.11
2024,TORRES Gladymar,F,21,152,47.3,11.12
2024,JOSEPH Gemima,F,23,166,57.5,11.13
2024,van der WEKEN Patrizia,F,25,173,61.6,11.14
2024,TERRY Twanisha,F,25,160,51.8,11.15
2024,KONE Maboundou,F,27,163,53.1,11.17
2024,FORBES Shashalee,F,28,160,51.2,11.19
2024,NKANSA Delphine,F,23,164,56.2,11.2
2024,EMMANOUILIDOU Polyniki,F,21,158,48.1,11.25
2024,HENRIKSSON Julia,F,24,168,57,11.26
2024,CHUKWUMA Rosemary,F,22,165,52.7,11.26
2024,MASTERS Bree,F,29,174,59.9,11.26
2024,MADOGO Jacqueline,F,24,173,60.5,11.27
2024,BERTRAND Leah,F,22,162,53.8,11.27
2024,HAASE Rebekka,F,31,170,61.4,11.28
2024,CONNOLLY Ella,F,24,174,63.2,11.29
2024,DOSSO Zaynab,F,25,170,56.5,11.3
2024,AZEVEDO Ana Carolina,F,26,157,52,11.32
2024,GODBLESS Tima,F,20,174,60.6,11.33
2024,AHYE Michelle-Lee,F,32,168,58.1,11.33
2024,FREY Geraldine,F,27,172,62.2,11.34
2024,KORA Salome,F,30,173,61.4,11.35
2024,TENORIO Angela Gabriela,F,28,165,54.5,11.35
2024,NGOYE Natacha,F,31,168,58,11.36
2024,LLOYD Joella,F,22,172,57.5,11.37
2024,GARCIA ABREU Yunisleidy,F,25,164,56.5,11.37
2024,BAZOLO Lorene Dorcas,F,41,170,61.8,11.38
2024,TAMAYO-GARZA Cecilia,F,27,167,58.8,11.39
2024,SEMEDO Gorete,F,28,168,57.6,11.43
2024,FORSTER Viktoria,F,22,162,54.8,11.44
2024,GE Manqi,F,27,163,56.1,11.45
2024,STEFANOWICZ Magdalena,F,24,168,58,11.47
2024,FOTOPOULOU Olivia,F,27,163,54.1,11.5
2024,FASIHI Farzaneh,F,31,161,53.3,11.51
2024,GASPARELLI Alessandra,F,20,162,54.5,11.54
2024,EVELYN Tristan,F,26,163,51.9,11.55
2024,KEMPPINEN Lotta,F,26,170,59.7,11.56
2024,PEREIRA Veronica Shanti,F,28,164,56.9,11.63
2024,TORREZ Guadalupe,F,23,165,55.9,11.68
2024,HAZZARD Halle,F,25,168,56.2,11.7
2024,BEU Leonie,F,26,165,54.3,11.73
2024,TRAN Thi Nhi Yen,F,19,172,58,11.79
2024,HIEBERT Xenia,F,26,166,53.9,11.82
2024,TUGADE-WATSON Regine,F,26,164,54.6,11.87
2024,ZHANG Bo-Ya,F,21,166,56.2,11.88
2024,ALLERS-LIBURD Zahria,F,22,170,58.1,11.89
2024,SIMWAKA Asimenye,F,27,168,58.4,11.91
2024,MEREDOVA Valentina,F,40,160,53.8,11.95
2024,SMITH-BARNETT Destiny,F,28,168,55.6,11.99
2024,CARMONA Maria,F,25,166,54.8,12
2024,ROSA Vitoria Cristina,F,28,170,58,12.02
2024,DAVIES Thelma,F,24,163,52.7,12.05
2024,CHACON Mariandree,F,20,171,60.5,12.06
2024,ACQUAVIVA Safiatou,F,25,170,60.5,12.07
2024,SESAY Georgiana,F,20,170,59.8,12.15
